experiment,paradigm,workers,n_tasks,duration_s,cpu_percent_avg,mem_mb_peak,extra_json
01_cpu_primes,sequential,1,4,13.117405,100.400,70.867,"{""repeat_idx"": 0}"
01_cpu_primes,sequential,1,4,13.154703,100.500,70.871,"{""repeat_idx"": 1}"
01_cpu_primes,sequential,1,4,13.049705,100.100,70.883,"{""repeat_idx"": 2}"
01_cpu_primes,sequential,1,4,13.239112,100.400,70.883,"{""repeat_idx"": 3}"
01_cpu_primes,sequential,1,4,13.467624,100.600,70.883,"{""repeat_idx"": 4}"
01_cpu_primes,threading,4,4,16.768436,101.300,70.969,"{""repeat_idx"": 0}"
01_cpu_primes,threading,4,4,15.881629,101.300,70.980,"{""repeat_idx"": 1}"
01_cpu_primes,threading,4,4,14.670722,101.500,70.980,"{""repeat_idx"": 2}"
01_cpu_primes,threading,4,4,15.162198,101.600,70.984,"{""repeat_idx"": 3}"
01_cpu_primes,threading,4,4,14.636521,101.400,70.984,"{""repeat_idx"": 4}"
01_cpu_primes,multiprocessing,4,4,3.869865,401.903,288.449,"{""repeat_idx"": 0}"
01_cpu_primes,multiprocessing,4,4,3.856524,407.566,288.574,"{""repeat_idx"": 1}"
01_cpu_primes,multiprocessing,4,4,4.017250,400.509,288.656,"{""repeat_idx"": 2}"
01_cpu_primes,multiprocessing,4,4,3.952728,401.231,288.719,"{""repeat_idx"": 3}"
01_cpu_primes,multiprocessing,4,4,4.027398,403.490,288.652,"{""repeat_idx"": 4}"
