experiment,paradigm,workers,n_tasks,duration_s,cpu_percent_avg,mem_mb_peak,extra_json
02_io_http,sequential,1,100,100.371261,26.594,82.281,"{""repeat_idx"": 0}"
02_io_http,sequential,1,100,100.236934,21.969,82.324,"{""repeat_idx"": 1}"
02_io_http,sequential,1,100,100.214874,21.326,82.449,"{""repeat_idx"": 2}"
02_io_http,threading,16,100,7.043750,25.554,83.746,"{""repeat_idx"": 0}"
02_io_http,threading,16,100,7.054680,27.123,83.812,"{""repeat_idx"": 1}"
02_io_http,threading,16,100,7.077232,25.466,83.996,"{""repeat_idx"": 2}"
02_io_http,threading,64,100,2.078928,44.183,87.672,"{""repeat_idx"": 0}"
02_io_http,threading,64,100,2.163053,33.267,88.113,"{""repeat_idx"": 1}"
02_io_http,threading,64,100,2.082381,36.588,88.312,"{""repeat_idx"": 2}"
02_io_http,multiprocessing,16,100,7.117727,25.546,1248.664,"{""repeat_idx"": 0}"
02_io_http,multiprocessing,16,100,7.130695,27.352,1248.859,"{""repeat_idx"": 1}"
02_io_http,multiprocessing,16,100,7.106838,23.831,1249.199,"{""repeat_idx"": 2}"
02_io_http,asyncio,100,100,1.111330,46.007,90.223,"{""repeat_idx"": 0}"
02_io_http,asyncio,100,100,1.102809,38.473,90.254,"{""repeat_idx"": 1}"
02_io_http,asyncio,100,100,1.080704,39.786,90.262,"{""repeat_idx"": 2}"
