experiment,paradigm,workers,n_tasks,duration_s,cpu_percent_avg,mem_mb_peak,extra_json
04_scaling,threading,1,8,9.093774,100.600,70.879,"{""repeat_idx"": 0}"
04_scaling,threading,1,8,9.272027,100.300,70.895,"{""repeat_idx"": 1}"
04_scaling,threading,1,8,9.599233,99.650,70.918,"{""repeat_idx"": 2}"
04_scaling,threading,2,8,9.809593,100.600,70.934,"{""repeat_idx"": 0}"
04_scaling,threading,2,8,9.777456,100.700,70.934,"{""repeat_idx"": 1}"
04_scaling,threading,2,8,10.077678,100.200,70.938,"{""repeat_idx"": 2}"
04_scaling,threading,4,8,10.732897,100.600,70.980,"{""repeat_idx"": 0}"
04_scaling,threading,4,8,11.729439,101.300,70.984,"{""repeat_idx"": 1}"
04_scaling,threading,4,8,12.421964,101.600,70.984,"{""repeat_idx"": 2}"
04_scaling,threading,8,8,12.350707,102.800,71.000,"{""repeat_idx"": 0}"
04_scaling,threading,8,8,12.453510,102.500,71.000,"{""repeat_idx"": 1}"
04_scaling,threading,8,8,13.739302,102.700,71.000,"{""repeat_idx"": 2}"
04_scaling,threading,16,8,14.025305,102.900,71.000,"{""repeat_idx"": 0}"
04_scaling,threading,16,8,13.843832,102.700,71.000,"{""repeat_idx"": 1}"
04_scaling,threading,16,8,14.265939,102.900,71.000,"{""repeat_idx"": 2}"
04_scaling,threading,32,8,13.454943,102.700,71.000,"{""repeat_idx"": 0}"
04_scaling,threading,32,8,14.110137,103.000,71.000,"{""repeat_idx"": 1}"
04_scaling,threading,32,8,13.346842,102.900,71.000,"{""repeat_idx"": 2}"
04_scaling,multiprocessing,1,8,10.014556,110.508,125.371,"{""repeat_idx"": 0}"
04_scaling,multiprocessing,1,8,10.069347,110.800,125.414,"{""repeat_idx"": 1}"
04_scaling,multiprocessing,1,8,10.232477,111.182,125.438,"{""repeat_idx"": 2}"
04_scaling,multiprocessing,2,8,5.326555,210.602,179.898,"{""repeat_idx"": 0}"
04_scaling,multiprocessing,2,8,5.252677,210.308,179.891,"{""repeat_idx"": 1}"
04_scaling,multiprocessing,2,8,5.282127,210.240,179.906,"{""repeat_idx"": 2}"
04_scaling,multiprocessing,4,8,2.937569,394.067,288.898,"{""repeat_idx"": 0}"
04_scaling,multiprocessing,4,8,2.885624,397.939,288.883,"{""repeat_idx"": 1}"
04_scaling,multiprocessing,4,8,3.415355,353.192,288.898,"{""repeat_idx"": 2}"
04_scaling,multiprocessing,8,8,2.079555,632.253,506.953,"{""repeat_idx"": 0}"
04_scaling,multiprocessing,8,8,2.089061,649.994,506.922,"{""repeat_idx"": 1}"
04_scaling,multiprocessing,8,8,2.116238,646.835,506.945,"{""repeat_idx"": 2}"
04_scaling,multiprocessing,16,8,2.125225,633.509,941.816,"{""repeat_idx"": 0}"
04_scaling,multiprocessing,16,8,2.151534,652.949,941.723,"{""repeat_idx"": 1}"
04_scaling,multiprocessing,16,8,2.252524,649.100,941.824,"{""repeat_idx"": 2}"
04_scaling,multiprocessing,32,8,2.238412,643.597,1812.285,"{""repeat_idx"": 0}"
04_scaling,multiprocessing,32,8,2.207003,656.303,1812.336,"{""repeat_idx"": 1}"
04_scaling,multiprocessing,32,8,2.290757,652.471,1812.848,"{""repeat_idx"": 2}"
04_scaling,asyncio,1,8,11.204716,100.500,71.094,"{""repeat_idx"": 0}"
04_scaling,asyncio,1,8,10.934668,100.700,71.094,"{""repeat_idx"": 1}"
04_scaling,asyncio,1,8,10.829931,100.600,71.094,"{""repeat_idx"": 2}"
04_scaling,asyncio,2,8,10.224960,100.500,71.094,"{""repeat_idx"": 0}"
04_scaling,asyncio,2,8,10.810010,100.600,71.094,"{""repeat_idx"": 1}"
04_scaling,asyncio,2,8,10.813586,100.700,71.094,"{""repeat_idx"": 2}"
04_scaling,asyncio,4,8,12.613675,101.600,71.109,"{""repeat_idx"": 0}"
04_scaling,asyncio,4,8,12.872647,101.500,71.109,"{""repeat_idx"": 1}"
04_scaling,asyncio,4,8,12.466154,101.600,71.109,"{""repeat_idx"": 2}"
04_scaling,asyncio,8,8,12.307244,102.600,71.117,"{""repeat_idx"": 0}"
04_scaling,asyncio,8,8,13.765905,102.800,71.117,"{""repeat_idx"": 1}"
04_scaling,asyncio,8,8,15.613579,103.300,71.117,"{""repeat_idx"": 2}"
04_scaling,asyncio,16,8,15.182346,103.100,71.117,"{""repeat_idx"": 0}"
04_scaling,asyncio,16,8,15.207222,103.000,71.117,"{""repeat_idx"": 1}"
04_scaling,asyncio,16,8,13.705247,103.100,71.117,"{""repeat_idx"": 2}"
04_scaling,asyncio,32,8,13.788792,103.300,71.125,"{""repeat_idx"": 0}"
04_scaling,asyncio,32,8,12.157652,102.900,71.125,"{""repeat_idx"": 1}"
04_scaling,asyncio,32,8,12.419202,103.000,71.125,"{""repeat_idx"": 2}"
